location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Switzerland,41346,340,287.714,2004,1,0.571,4777.334,39.285,33.244,231.553,0.116,0.066,1.18,0,0,0,0,0,0,0,0,12567,1004789,116.099,1.452,10175,1.176,0.028,35.4,43.06,8654618,214.243,43.1,18.436,12.644,57410.166,0,99.739,5.59,22.6,28.9,0,4.53,83.78,0.944
Syria,2563,59,70,103,3,2.857,146.452,3.371,4,5.885,0.171,0.163,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.04,17500657,0,21.7,0,2.577,0,0,376.264,0,0,0,70.598,1.5,72.7,0.536
Taiwan,487,0,0,7,0,0,20.448,0,0,0.294,0,0,0.88,0,0,0,0,0,0,0,0,177,86979,3.652,0.007,172,0.007,0,0,23.15,23816775,0,42.2,0,8.353,0,0,103.957,0,0,0,0,0,80.46,0
Tajikistan,8481,32,34.286,68,0,0.286,889.213,3.355,3.595,7.13,0,0.03,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.89,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,0,0,72.704,4.8,71.1,0.65
Tanzania,509,0,0,21,0,0,8.521,0,0,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.538
Thailand,3411,1,3,58,0,0,48.868,0.014,0.043,0.831,0,0,1.05,0,0,0,0,0,0,0,0,4755,908325,13.013,0.068,4300,0.062,0.001,1433.3,50,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
Timor,27,0,0.286,0,0,0,20.479,0,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
Togo,1365,39,18,27,0,0,164.88,4.711,2.174,3.261,0,0,1.04,0,0,0,0,0,0,0,0,992,63130,7.626,0.12,955,0.115,0.019,53.1,48.15,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
Trinidad and Tobago,1554,125,98.571,19,4,1,1110.404,89.318,70.434,13.576,2.858,0.715,1.37,0,0,0,0,0,0,0,0,417,19870,14.198,0.298,560,0.4,0.176,5.7,80.56,1399491,266.886,36.2,10.014,5.819,28763.071,0,228.467,10.97,0,0,89.443,3,73.51,0.784
Tunisia,3461,138,122,74,1,1.429,292.843,11.676,10.323,6.261,0.085,0.121,1.45,0,0,0,0,0,0,0,0,1848,144042,12.188,0.156,2492,0.211,0.049,20.4,24.07,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735
